Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Durres,Derna,2602.0km,53.225,18.40%,87.83ms,91.41ms,0.70ms,2022-01-07 04:07:02
Durres,Ostend,1706.0km,31.56,34.94%,48.69ms,49.02ms,0.14ms,2022-01-07 05:05:24
Durres,Blaabjerg,2003.0km,31.775,31.11%,54.23ms,54.42ms,0.23ms,2022-01-07 04:10:52
Durres,Nicosia,1457.0km,58.54,12.94%,101.94ms,109.35ms,2.59ms,2022-01-07 04:25:03
Durres,Kilmore-Quay,2472.0km,36.965,38.31%,62.41ms,72.91ms,1.90ms,2022-01-07 04:08:14
Durres,Penmarch,2193.0km,33.105,33.38%,47.92ms,51.38ms,0.66ms,2022-01-07 04:33:57
Durres,Kilkis,317.0km,36.925,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Durres,Haskavo,555.0km,22.725,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Durres,Komotini,515.0km,32.915,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Durres,Gevgelija,356.0km,35.12,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Durres,Petrich,397.0km,30.325,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Durres,Promachonas,379.0km,37.235,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Durres,Alexandroupolis,570.0km,29.189999999999998,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Durres,Kesan,998.0km,30.045,20.73%,37.65ms,38.05ms,0.15ms,2022-01-07 04:20:12
Durres,Nahariya,1810.0km,49.620000000000005,19.17%,87.88ms,88.28ms,0.12ms,2022-01-07 04:44:53
Durres,Corfu,km,9.767
Durres,Chania,827.0km,28.369999999999997,12.22%,41.37ms,41.65ms,0.19ms,2022-01-07 05:00:44
Durres,Yeroskipos,1436.0km,54.435,12.94%,101.94ms,109.35ms,2.59ms,2022-01-07 04:25:03
Durres,Marmaris,967.0km,42.89,10.19%,68.99ms,69.31ms,0.34ms,2022-01-07 04:20:22
Durres,Haifa,1780.0km,45.470000000000006,19.17%,87.88ms,88.28ms,0.12ms,2022-01-07 04:44:53
Durres,Suez,1758.0km,52.005,18.40%,87.83ms,91.41ms,0.70ms,2022-01-07 04:07:02
Durres,Conil,2821.0km,63.665,21.08%,92.69ms,159.66ms,26.73ms,2022-01-07 04:14:42
Durres,Sesimbra,2515.0km,47.605000000000004,28.78%,86.72ms,86.93ms,0.27ms,2022-01-07 04:25:25
Durres,Mazara,786.0km,43.699999999999996,9.94%,65.99ms,66.31ms,0.28ms,2022-01-07 04:33:33
Durres,Estepona,2850.0km,61.8099,21.08%,92.69ms,159.66ms,26.73ms,2022-01-07 04:14:42
Durres,Catania,866.0km,39.099999999999994,9.94%,65.99ms,66.31ms,0.28ms,2022-01-07 04:33:33
Durres,Tartus,1747.0km,60.385000000000005,16.20%,96.82ms,113.78ms,3.16ms,2022-01-07 05:02:47
Durres,Malta,778.0km,45.035,9.61%,70.80ms,93.63ms,5.96ms,2022-01-07 04:46:42
Durres,Agia-Napa,1485.0km,61.68,12.94%,101.94ms,109.35ms,2.59ms,2022-01-07 04:25:03
Durres,Pentaskinos,1412.0km,56.315000000000005,12.94%,101.94ms,109.35ms,2.59ms,2022-01-07 04:25:03
Durres,Tg-Carbunesti,890.0km,26.29,17.60%,34.04ms,68.48ms,6.17ms,2022-01-07 04:06:00
Durres,Hegyeshantom,726.0km,21.025,25.52%,27.13ms,28.31ms,0.39ms,2022-01-07 04:06:13
Durres,Norden,1781.0km,28.755,33.04%,50.10ms,50.78ms,0.31ms,2022-01-07 04:16:44
Durres,Katwijk,1697.0km,32.315,32.21%,52.28ms,52.55ms,0.30ms,2022-01-07 04:45:05
